"trial","outOfCentralArea"
1,1
2,0.9687315634218301
3,0.14413965087281663
4,0.12516212710765268
5,0.8903182125930927
6,1
7,0.20014503263233735
8,0.981818181818182
9,0.963699222126189
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0.827235772357724
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0.986633249791145
35,0.19985358711566517
36,0.006382978723404226
37,0.05752961082910476
38,0.0326864147088863
39,0
40,0
41,0
42,0.002465078060805249
43,1
44,0.9851909586905685
45,0.9907834101382487
46,0.9849785407725323
47,0.9689497716894973
48,0.9781021897810217
49,0.9891640866873063
50,1
51,0.9824267782426777
52,1
53,1
54,1
55,0.9710144927536225
56,1
57,1
58,1
59,0.9821276595744685
60,1
61,1
62,1
63,1
64,0.9867768595041319
65,0.9813765182186235
66,1
67,0.9783480352846834
68,1
69,0.9660339660339666
70,1
71,1
72,0.968906720160481
73,1
74,1
75,1
76,1
77,1
78,1
79,0.9655172413793109
80,1
81,1
82,1
83,1
84,0.9822784810126579
85,1
86,0.993388429752066
87,1
88,1
89,1
90,1
91,0.9848866498740549
92,1
93,0.9842738205365404
94,1
95,0.9875120076849184
96,1
97,0.9908340971585698
98,1
99,1
100,1
101,1
102,1
103,0.9952696310312203
104,1
105,1
106,1
107,1
108,1
109,1
110,0.9953650057937427
111,0.9974126778783958
112,1
113,0.9977116704805492
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,0.9952830188679245
123,1
124,1
125,1
126,1
127,0.9972324723247232
128,1
129,1
130,1
131,1
132,0.9970178926441352
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0.9436619718309871
147,0.9985250737463127
148,1
149,1
150,1
151,1
152,1
153,1
154,0.9982174688057042
155,1
156,1
157,1
158,1
159,0.9981255857544518
160,1
161,1
162,1
163,1
164,1
165,0.9964370546318289
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0.9954462659380692
185,1
186,1
187,1
188,1
189,1
190,0.989010989010989
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,0.9765037593984957
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,0.9969325153374232
233,1
234,1
235,0.9958368026644463
236,1
237,0.9984289080911233
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,0.9935639581657281
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0.9959448499594487
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,0.998003992015968
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,0.9951503394762368
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0.9931439764936338
325,1
326,1
327,1
328,0.987321711568938
329,1
330,1
331,0.992025518341308
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,0.9966442953020134
343,1
344,1
345,1
346,0.9976433621366849
347,1
348,1
349,0.9913043478260868
350,1
351,1
352,1
353,1
354,0.9930008748906388
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0.990484429065744
381,1
382,0.9972776769509981
383,1
384,1
385,0.9936936936936938
386,1
387,1
388,0.997131931166348
389,1
390,1
391,0.9900990099009899
392,1
393,1
394,0.9877675840978591
395,1
396,1
397,0.9945945945945944
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,0.9918367346938777
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,0.9981481481481481
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,0.9899328859060403
451,1
452,0.9932627526467758
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0.9924026590693259
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,0.994435612082671
471,1
472,1
473,1
474,1
475,0.9949109414758269
476,1
477,1
478,1
479,1
480,1
